#2Awesome	group interest	0.899	0.857	1.075	71.671	0.052	0.013	0.016	0.984	8.055	7.702	1.750	7.322	1.000	0.044	0.121	0.829	0.187
#3wordsbetterthanIloveyou	group interest	0.820	0.832	1.028	76.052	0.575	0.041	0.028	0.990	8.427	8.456	1.289	6.667	1.000	0.007	0.100	0.893	0.228
#4HSepang	group interest	0.661	1.000	1.177	51.587	0.718	0.077	0.011	0.892	9.095	8.438	2.236	7.894	1.000	0.055	0.124	0.820	0.082
#60daysinjail	group interest	0.503	0.592	1.803	74.293	1.758	0.000	0.433	0.962	6.267	6.555	3.453	8.024	1.000	0.007	0.077	0.917	0.156
#7YearsOfBaby	commemoratives	0.080	0.411	1.115	72.392	0.920	0.072	0.016	0.973	7.717	5.440	1.992	9.681	1.000	0.132	0.121	0.747	-0.048
#80sSongsForCountries	group interest	0.869	0.900	1.819	78.597	1.638	0.027	0.023	0.991	7.626	7.295	3.131	7.171	1.000	0.041	0.110	0.849	0.167
Aitor Karanka	news	0.635	0.669	0.133	88.014	4.823	0.017	0.570	0.911	8.763	8.127	5.209	7.577	1.000	0.117	0.048	0.835	-0.171
#AJBellNBL	group interest	0.805	0.829	0.174	115.366	4.243	0.000	0.207	0.946	9.241	8.956	4.348	6.551	1.000	0.016	0.093	0.891	0.212
Alex Bray	news	0.351	0.470	1.372	96.786	5.288	0.105	0.207	0.919	5.417	6.424	2.842	8.929	1.000	0.016	0.139	0.844	0.322
Alexander Arnold	live events	0.649	0.665	0.753	98.866	7.840	0.010	0.278	0.866	8.216	7.544	2.633	7.204	1.000	0.013	0.083	0.904	0.157
Alexandra Shulman	news	0.741	0.754	0.552	95.642	3.982	0.000	0.137	0.093	9.374	8.943	2.555	7.656	1.000	0.008	0.213	0.779	0.458
Alistair Carmichael	news	0.627	0.649	0.094	81.941	4.180	0.029	0.627	0.780	9.424	8.739	4.804	6.727	1.000	0.022	0.029	0.950	0.001
All Stars	live events	0.694	0.737	0.870	106.005	3.935	0.078	0.065	0.950	9.287	8.745	1.786	7.817	1.000	0.081	0.059	0.860	-0.082
Allan McGregor	news	0.556	0.588	0.744	96.197	4.991	0.056	0.194	0.856	9.305	8.415	5.545	9.567	1.000	0.043	0.104	0.854	0.162
#ALLtogetherNI	live events	0.801	0.835	0.714	110.202	4.963	0.009	0.112	0.991	8.996	8.633	2.788	5.976	1.000	0.004	0.056	0.941	0.153
#alternativefact	group interest	0.720	0.788	1.345	80.140	4.360	0.016	0.127	0.959	6.156	5.627	2.918	8.131	1.000	0.007	0.145	0.848	0.317
#alternativefacts	group interest	0.640	0.667	1.281	89.281	4.488	0.058	0.118	0.969	9.244	8.540	3.049	8.946	1.000	0.057	0.102	0.842	0.076
Amartya Sen	group interest	0.649	0.674	1.451	95.035	4.747	0.090	0.109	0.962	9.256	8.541	3.885	9.580	1.000	0.084	0.078	0.838	-0.030
Ander Herrera	live events	0.661	0.961	0.346	96.843	4.614	0.008	0.764	0.822	9.440	8.903	4.663	6.588	1.000	0.019	0.148	0.833	0.312
Andre Gray	group interest	0.802	0.809	0.404	86.483	5.401	0.003	0.064	1.000	9.165	8.836	1.506	6.277	1.000	0.005	0.199	0.796	0.455
Andre Marriner	live events	0.271	0.342	0.357	77.799	5.274	0.021	0.451	0.802	9.023	7.276	5.821	9.033	1.000	0.040	0.083	0.877	0.103
Andreas Weimann	news	0.578	0.598	0.240	85.818	5.034	0.047	0.028	0.978	9.373	8.568	4.649	7.847	1.000	0.147	0.113	0.740	-0.156
Andrew Crawford	news	0.555	0.603	0.900	90.994	5.467	0.027	0.385	0.894	8.834	8.237	4.442	6.864	1.000	0.014	0.018	0.969	0.008
Andrew Neil	live events	0.772	0.820	0.282	90.823	4.515	0.052	0.165	1.075	9.029	8.747	3.257	7.391	1.000	0.112	0.065	0.823	-0.038
Andy Carroll	live events	0.740	0.785	0.275	99.487	4.742	0.071	0.348	0.896	9.419	9.051	3.840	8.379	1.000	0.126	0.047	0.826	-0.249
Angelina Jolie	group interest	0.490	0.533	0.341	91.756	4.869	0.015	0.469	0.987	9.377	8.193	4.591	8.032	1.000	0.018	0.120	0.861	0.281
Angelo Ogbonna	group interest	0.402	0.427	0.357	75.447	9.558	0.000	0.688	0.874	8.511	6.988	5.487	8.063	1.000	0.027	0.133	0.840	0.235
Angus Robertson	live events	0.783	0.805	0.279	103.037	6.996	0.007	0.235	0.890	8.728	8.392	3.961	6.945	1.000	0.097	0.103	0.800	0.018
Anna Soubry	live events	0.774	1.000	1.224	108.869	4.804	0.048	0.090	0.997	9.223	8.793	3.604	8.126	1.000	0.041	0.087	0.872	0.166
Annie Power	news	0.405	0.491	0.195	83.863	4.965	0.137	0.322	0.309	8.787	7.954	3.603	9.675	1.000	0.081	0.112	0.807	0.065
Anthony Taylor	live events	0.406	0.477	0.228	86.157	10.183	0.025	0.614	1.015	8.502	7.203	5.798	7.142	1.000	0.132	0.140	0.729	0.071
Anton Donkor	group interest	0.890	0.918	0.044	94.513	5.144	0.013	0.062	0.995	9.455	9.296	4.029	7.356	1.000	0.130	0.126	0.744	-0.102
#AppAwards16	live events	0.717	0.967	0.286	103.141	7.290	0.065	0.254	0.971	8.852	8.377	4.246	6.659	1.000	0.021	0.057	0.922	0.109
#AppleTreeYard	group interest	0.762	0.780	1.537	86.552	5.397	0.018	0.192	0.929	7.473	7.305	4.142	8.477	1.000	0.003	0.275	0.722	0.593
Arcade Fire	group interest	0.308	0.345	1.234	77.687	5.750	0.124	0.032	0.989	9.171	7.288	2.449	9.428	1.000	0.107	0.128	0.764	0.011
#arcgap	group interest	0.608	0.635	0.180	81.373	8.604	0.043	0.694	0.796	8.915	8.233	3.563	7.507	1.000	0.111	0.085	0.804	0.021
#archantawards	live events	0.476	0.556	1.488	97.714	8.806	0.190	0.099	0.980	5.053	4.972	3.358	9.317	1.000	0.041	0.103	0.855	0.124
Arron Banks	news	0.218	0.285	1.264	76.518	11.767	0.073	0.041	0.984	5.798	5.201	2.820	8.940	1.000	0.014	0.234	0.752	0.444
#ARSBUR	live events	0.588	0.649	0.216	81.214	5.845	0.142	0.163	0.354	9.069	8.273	3.963	8.874	1.000	0.041	0.103	0.857	0.128
Arthur Sadoun	news	0.728	0.761	2.549	82.203	6.440	0.445	0.129	0.934	9.347	8.974	4.528	7.670	1.000	0.005	0.144	0.852	0.289
Article 50 Bill	news	0.565	0.984	0.105	93.363	18.927	0.000	0.484	0.960	7.595	7.051	3.200	6.200	1.000	0.003	0.087	0.909	0.202
Article 50	news	0.649	0.904	0.199	85.914	5.942	0.038	0.669	0.742	9.377	8.705	4.885	8.499	1.000	0.054	0.034	0.912	-0.061
Ashley Judd	news	0.735	0.877	0.361	86.819	15.265	0.084	0.626	0.426	8.109	7.623	5.276	9.324	1.000	0.035	0.096	0.869	0.147
Ashton Irwin	group interest	0.811	0.819	0.738	105.537	6.038	0.038	0.237	0.962	9.523	9.221	3.651	8.109	1.000	0.112	0.034	0.854	-0.186
#AskDanny	group interest	0.948	0.898	0.283	62.518	6.335	0.173	0.010	0.992	8.964	8.805	3.734	7.502	1.000	0.010	0.078	0.912	0.136
Asmir Begovic	news	0.931	0.947	1.595	95.151	6.659	0.058	0.175	0.992	8.547	8.427	3.002	7.046	1.000	0.018	0.250	0.731	0.550
#AtlasV	live events	0.476	0.553	0.312	99.021	6.664	0.008	0.550	0.807	9.251	8.410	4.937	6.703	1.000	0.046	0.014	0.939	0.005
#AusOpen	live events	0.615	0.641	1.979	75.572	6.677	0.021	0.118	0.982	8.696	8.431	2.941	7.193	1.000	0.013	0.049	0.938	0.102
#AustraliaDay	commemoratives	0.448	0.510	1.484	74.935	8.778	0.186	0.127	0.964	8.871	7.861	3.846	9.167	1.000	0.039	0.093	0.868	0.111
#AUSvPAK	live events	0.529	0.582	2.013	88.649	7.410	0.059	0.210	0.920	9.381	8.386	5.466	9.702	1.000	0.029	0.200	0.772	0.335
#AwfullyBritishPubNames	group interest	0.307	0.344	1.289	68.848	10.693	0.030	0.337	0.989	8.004	5.857	2.725	8.168	1.000	0.040	0.062	0.898	0.043
Bad Lip Reading	news	0.413	0.445	1.042	51.618	7.605	0.008	0.008	0.995	8.265	7.500	1.374	8.136	1.000	0.076	0.030	0.895	-0.046
#Badlands	news	0.550	0.558	0.079	76.320	7.481	0.013	0.967	0.808	9.559	8.726	5.664	6.502	1.000	0.184	0.102	0.714	-0.186
#BadlyRecastAFilm	group interest	0.926	0.934	1.873	105.497	7.442	0.015	0.056	0.962	9.328	9.201	4.246	7.580	1.000	0.038	0.065	0.898	0.121
#BadRelationshipAdvice	group interest	0.352	0.407	1.064	61.529	8.141	0.019	0.008	0.992	8.176	7.271	1.659	9.224	1.000	0.037	0.038	0.925	-0.009
Barack Obama	news	0.630	0.669	1.044	77.602	7.651	0.031	0.049	0.984	8.839	8.411	1.505	8.748	1.000	0.074	0.136	0.789	0.107
Barbara Bush	news	0.849	0.865	0.205	97.162	8.070	0.070	0.368	0.854	9.487	9.271	5.160	8.541	1.000	0.020	0.105	0.874	0.229
Basic Instinct	live events	0.739	0.745	0.232	101.429	7.889	0.034	0.426	0.953	9.371	8.854	5.656	7.395	1.000	0.015	0.117	0.868	0.272
#bbcaq	news	0.332	0.411	0.668	77.731	9.538	0.073	0.259	0.975	9.060	7.676	5.870	9.066	1.000	0.045	0.072	0.883	0.040
#bbcfootball	news	0.609	0.673	1.284	100.563	7.756	0.162	0.107	0.990	8.301	7.941	2.851	9.575	1.000	0.060	0.079	0.861	0.033
#BBNaija	live events	0.361	0.455	1.440	92.652	8.026	0.156	0.069	0.980	9.102	7.987	3.459	9.562	1.000	0.108	0.111	0.780	-0.006
#BeerBods	group interest	0.526	0.549	1.201	75.972	8.155	0.090	0.198	0.961	8.580	7.591	2.356	9.349	1.000	0.034	0.094	0.872	0.136
#BeingMaryJane	group interest	0.147	0.256	1.368	85.330	8.297	0.112	0.190	0.942	7.493	6.148	3.760	9.932	1.000	0.028	0.152	0.820	0.272
#beliebersstayforever	commemoratives	0.772	0.624	1.087	77.280	8.902	0.146	0.087	0.944	8.298	8.178	2.019	8.813	1.000	0.052	0.108	0.840	0.151
#Bellator170	live events	0.943	0.927	1.939	97.747	13.939	0.016	0.029	0.931	7.616	7.428	3.556	7.518	1.000	0.018	0.116	0.866	0.268
#BellLetsTalk	group interest	0.535	0.561	1.061	62.523	10.147	0.081	0.237	0.983	8.677	7.976	1.636	8.490	1.000	0.072	0.077	0.851	0.011
Ben Marshall	news	0.805	0.760	1.159	93.727	10.670	0.030	0.048	0.000	8.766	8.175	2.167	9.302	1.000	0.082	0.106	0.812	0.074
Ben Mee	live events	0.583	0.618	0.602	84.497	9.599	0.081	0.234	0.914	8.869	8.395	4.446	8.455	1.000	0.018	0.106	0.876	0.188
Bernie Ecclestone	news	0.272	0.319	0.217	77.760	14.201	0.118	0.051	0.972	8.880	6.942	3.980	8.735	1.000	0.126	0.087	0.786	-0.071
#BernieEcclestone	group interest	0.669	0.722	0.338	77.823	13.575	0.015	0.643	0.940	8.875	8.273	3.817	6.677	1.000	0.106	0.011	0.884	-0.206
#Bett2017	group interest	0.332	0.535	2.411	91.278	15.195	0.091	0.336	0.909	8.714	7.162	4.286	8.803	1.000	0.038	0.085	0.877	0.148
#bettawards	live events	0.706	0.754	1.802	90.661	10.751	0.198	0.325	0.895	9.066	8.555	4.858	9.205	1.000	0.007	0.100	0.892	0.247
#bettchat	group interest	0.658	0.725	1.412	81.430	10.228	0.005	0.114	0.964	7.435	6.975	3.534	8.173	1.000	0.003	0.376	0.620	0.724
#bhafc	live events	0.432	0.506	1.910	88.939	10.399	0.136	0.660	0.864	7.965	7.941	4.402	8.990	1.000	0.011	0.140	0.849	0.302
Bianca and Jamie	live events	0.622	0.699	1.628	78.582	10.543	0.105	0.181	0.898	8.602	7.893	4.322	9.462	1.000	0.050	0.152	0.797	0.254
#BigWeekend	group interest	0.559	0.595	0.522	86.481	10.516	0.023	0.208	0.959	9.420	8.734	2.891	7.684	1.000	0.096	0.188	0.717	0.296
Billy Simpson	news	0.857	0.872	1.236	90.822	10.962	0.050	0.354	0.995	9.276	9.091	2.550	7.076	1.000	0.009	0.079	0.911	0.194
Birkir Bjarnason	news	0.821	0.841	0.118	96.627	11.159	0.003	0.248	1.005	9.056	8.773	4.880	7.476	1.000	0.077	0.098	0.825	0.024
#BlackAdam	group interest	0.861	0.891	0.982	110.030	13.255	0.015	0.118	0.909	9.152	8.953	2.586	6.749	1.000	0.004	0.102	0.895	0.299
#BloggerationChat	group interest	0.832	0.841	2.063	86.075	13.275	0.081	0.222	0.988	8.947	8.658	3.783	7.870	1.000	0.023	0.047	0.930	0.085
#bloggersbookfeast	live events	0.057	0.170	1.064	87.387	11.843	0.075	0.165	0.923	6.352	4.538	2.033	9.683	1.000	0.024	0.185	0.791	0.322
Bob Woodward	live events	0.511	0.548	1.169	82.845	21.443	0.032	0.096	0.959	5.478	4.377	2.341	8.608	1.000	0.024	0.129	0.846	0.221
#BOIMcKennaCup	live events	0.761	0.829	0.247	102.655	11.861	0.073	0.219	0.960	9.514	9.133	4.862	7.527	1.000	0.016	0.079	0.905	0.177
Boris Johnson	news	0.503	0.528	1.153	76.258	12.051	0.003	0.010	1.026	7.131	7.804	1.893	7.259	1.000	0.004	0.051	0.945	0.117
#borolive	live events	0.836	0.861	0.147	104.206	12.705	0.086	0.399	0.804	9.215	8.938	4.490	9.029	1.000	0.126	0.087	0.787	-0.080
#botchedupbodies	live events	0.212	0.266	1.584	76.610	12.439	0.124	0.158	0.987	7.118	5.614	2.944	9.618	1.000	0.079	0.091	0.830	0.017
Bournemouth 2-2 Watford	live events	0.237	0.289	1.277	93.980	19.526	0.145	0.036	0.992	6.007	5.587	2.907	9.548	1.000	0.061	0.116	0.823	0.109
#BOUWAT	live events	0.217	0.299	0.463	87.944	12.881	0.000	0.640	0.995	9.353	7.124	5.587	7.471	1.000	0.079	0.077	0.844	0.033
#boycottadogspurpose	group interest	0.806	0.815	1.478	103.513	13.266	0.000	0.048	0.995	8.912	8.700	3.145	7.183	1.000	0.009	0.110	0.881	0.296
#BPstats	news	0.927	0.930	1.073	109.512	12.888	0.063	0.031	0.979	9.129	9.023	1.941	7.299	1.000	0.084	0.186	0.730	0.262
#brainwashingstacey	news	0.545	0.594	1.887	105.468	15.997	0.161	0.503	0.848	7.613	7.710	3.979	8.715	1.000	0.016	0.090	0.893	0.202
#Brexit	news	0.123	0.377	1.300	101.031	38.300	0.100	0.077	1.000	7.163	4.507	2.709	9.257	1.000	0.125	0.081	0.795	-0.089
#Brexitruling	news	0.663	0.716	1.678	95.812	14.931	0.051	0.340	0.961	9.156	8.526	4.734	10.180	1.000	0.067	0.078	0.855	0.028
#bridgesnotwalls	news	0.845	0.875	1.731	98.226	13.668	0.092	0.215	0.938	9.323	9.068	4.340	8.277	1.000	0.070	0.151	0.779	0.196
Bristol De Mai	live events	1.004	0.941	2.012	106.881	20.119	0.016	0.067	0.980	8.177	8.046	4.423	8.174	1.000	0.045	0.169	0.787	0.311
#BritainsArmedHistory	group interest	0.584	0.623	0.207	96.271	13.756	0.032	0.204	0.952	8.922	8.016	5.113	8.157	1.000	0.012	0.176	0.812	0.471
#BritainsBenefitTenants	group interest	0.868	0.825	1.089	97.513	13.244	0.084	0.069	0.959	8.375	8.402	1.947	8.042	1.000	0.057	0.123	0.820	0.218
British Airways	news	0.078	0.183	1.778	91.857	22.835	0.135	0.300	0.983	6.090	3.669	3.296	9.150	1.000	0.112	0.070	0.818	-0.089
British Cycling	news	0.436	0.690	0.438	101.226	13.864	0.113	0.381	0.669	9.213	8.277	5.833	7.916	1.000	0.130	0.044	0.826	-0.243
#BurnsNight	commemoratives	0.351	0.427	0.230	80.197	13.369	0.023	0.790	0.902	9.426	7.955	5.593	7.479	1.000	0.038	0.056	0.907	0.069
#BurnsNight2017	commemoratives	0.777	0.833	1.895	93.796	14.478	0.188	0.430	0.901	9.167	8.785	5.441	9.374	1.000	0.007	0.157	0.836	0.369
#C4PopUp	group interest	0.517	0.589	2.297	85.898	16.508	0.141	0.369	0.943	8.405	7.729	5.341	9.213	1.000	0.008	0.174	0.818	0.374
Call of Cthulhu	group interest	0.500	0.562	1.766	92.688	86.422	0.188	0.375	0.922	5.009	5.015	3.526	8.002	1.000	0.006	0.147	0.847	0.348
#CamilaBestFans	group interest	0.667	0.674	0.227	91.902	41.932	0.000	0.644	1.015	7.988	7.397	4.857	6.341	1.000	0.130	0.027	0.843	-0.309
Capital Force	live events	0.889	0.822	1.089	56.822	123.200	0.156	0.156	1.000	5.709	5.300	1.580	7.383	1.000	0.058	0.145	0.798	0.112
#careforthenhs	group interest	0.612	0.635	0.094	104.598	14.606	0.037	0.199	0.966	9.378	8.841	5.314	7.840	1.000	0.019	0.034	0.947	0.035
Carlos Tevez	news	0.815	0.997	1.419	101.967	14.195	0.147	0.162	0.995	8.521	8.084	3.302	8.107	1.000	0.017	0.142	0.841	0.353
Carlton Cole	news	0.760	0.857	0.344	97.435	36.364	0.026	0.468	1.013	8.155	7.815	4.050	6.804	1.000	0.003	0.086	0.911	0.190
#Casualty	live events	0.585	0.614	0.362	88.714	14.926	0.066	0.381	0.958	9.299	8.580	3.988	8.161	1.000	0.017	0.103	0.880	0.232
#CathyLive	live events	0.368	0.391	1.130	65.874	7.392	0.135	0.024	0.953	7.236	5.573	2.005	9.256	1.000	0.089	0.147	0.764	0.107
#CBBNicola	live events	0.473	0.562	1.233	93.891	14.922	0.099	0.246	0.982	6.488	5.921	2.487	9.558	1.000	0.044	0.151	0.805	0.227
#CBBStacey	live events	0.413	0.465	2.634	89.471	16.587	0.150	0.022	0.970	8.631	7.787	4.188	9.026	1.000	0.127	0.088	0.785	-0.099
#CBBUK	live events	0.155	0.196	2.411	92.317	22.894	0.166	0.019	0.992	8.421	5.928	4.163	9.412	1.000	0.144	0.091	0.765	-0.107
#CCR17	live events	0.652	0.678	2.874	98.008	15.750	0.198	0.021	0.974	9.114	8.655	4.637	8.774	1.000	0.105	0.069	0.826	-0.106
#ccvideo	live events	0.751	0.778	1.203	81.179	16.479	0.152	0.107	0.992	6.680	6.329	2.544	9.628	1.000	0.052	0.095	0.853	0.109
#cdfcouncil	live events	0.217	0.400	1.130	92.035	53.800	0.078	0.287	0.896	5.379	3.912	2.565	9.065	1.000	0.053	0.145	0.802	0.228
#CelebApprentice	live events	0.415	0.600	1.277	98.815	47.654	0.031	0.362	0.977	5.661	6.006	2.736	8.548	1.000	0.019	0.056	0.925	0.107
#celebhotter	live events	0.378	0.441	1.444	78.732	16.189	0.148	0.066	0.957	8.780	7.733	3.716	9.365	1.000	0.096	0.169	0.735	0.133
#Chairboys	live events	0.314	0.365	1.337	82.724	20.559	0.165	0.070	0.946	7.122	5.473	3.034	9.418	1.000	0.051	0.190	0.758	0.258
#ChangeALetterRuinACelebrity	group interest	0.709	0.758	2.031	97.400	17.291	0.156	0.130	0.969	8.658	8.552	4.458	8.301	1.000	0.005	0.129	0.866	0.345
#charitytuesday	group interest	0.408	0.436	1.003	42.765	23.035	0.003	0.003	1.000	7.371	6.424	1.033	7.163	1.000	0.043	0.025	0.932	-0.016
Charlie Adam	live events	0.525	0.626	1.787	97.565	18.986	0.163	0.551	0.837	9.268	8.212	5.961	10.182	1.000	0.029	0.203	0.768	0.413
Chase Carey	news	0.473	0.497	0.134	84.768	20.662	0.040	0.018	1.012	9.332	8.213	3.966	7.880	1.000	0.133	0.047	0.820	-0.138
#CheckatradeTrophy	live events	0.431	0.535	0.297	91.483	25.216	0.048	0.677	0.796	8.657	7.208	4.951	8.523	1.000	0.023	0.103	0.874	0.207
#CHEHUL	live events	0.530	0.621	1.657	96.992	18.023	0.031	0.106	0.922	8.083	7.932	3.778	8.859	1.000	0.047	0.090	0.863	0.102
#ChewingGum	live events	0.627	0.644	1.815	79.436	20.322	0.080	0.328	0.835	8.993	8.631	4.065	7.779	1.000	0.023	0.114	0.863	0.280
#ChewingGum2	live events	0.847	0.850	1.779	92.785	20.258	0.575	0.020	1.652	8.790	8.535	1.660	6.916	1.000	0.024	0.131	0.845	0.237
#chocolatemovies	group interest	0.740	0.747	1.760	85.822	18.534	0.335	0.021	1.701	8.523	8.222	1.284	7.800	1.000	0.043	0.127	0.830	0.149
Chris Brunt	live events	0.331	0.355	1.008	41.872	19.195	0.013	0.003	0.997	7.565	5.892	1.074	8.210	1.000	0.048	0.063	0.890	0.019
Chris Clements	news	0.668	0.678	0.536	81.067	19.450	0.016	0.064	0.995	9.325	8.689	3.738	7.660	1.000	0.058	0.060	0.882	0.091
Chris Martin	news	0.610	0.651	1.438	90.068	49.747	0.089	0.281	0.904	7.654	7.063	3.337	7.076	1.000	0.007	0.020	0.973	0.030
Chrissy Teigen	news	0.657	0.948	0.469	88.576	26.959	0.022	0.458	0.812	8.740	8.118	5.103	8.366	1.000	0.023	0.105	0.873	0.200
Christopher Samba	news	0.751	0.759	0.058	85.807	18.548	0.010	0.246	0.982	9.562	9.145	4.594	6.879	1.000	0.030	0.189	0.781	0.386
CIA HQ	news	0.755	0.771	0.289	109.501	19.924	0.038	0.248	1.000	9.398	9.023	2.010	6.974	1.000	0.043	0.123	0.835	0.256
#CleggQMUL	news	0.899	0.919	0.035	118.234	18.438	0.023	0.121	1.013	9.602	9.457	4.640	6.880	1.000	0.041	0.029	0.930	-0.043
Climate Change Plan	news	0.446	0.581	1.149	94.676	98.959	0.000	0.081	0.932	4.852	4.041	1.894	8.227	1.000	0.048	0.092	0.860	0.092
#climatefacts	news	0.616	0.688	0.653	99.131	18.485	0.048	0.510	0.902	8.846	8.506	4.946	8.596	1.000	0.060	0.052	0.888	-0.034
#clueless	group interest	0.863	0.871	1.470	98.000	19.155	0.018	0.243	0.979	9.292	9.022	3.330	8.950	1.000	0.059	0.100	0.841	0.101
#cmawards16	live events	0.218	0.345	1.715	98.580	20.702	0.171	0.262	0.912	9.180	7.244	5.416	10.174	1.000	0.076	0.088	0.836	0.011
Coco Vandeweghe	live events	0.099	0.198	1.297	46.727	43.802	0.081	0.041	0.988	7.139	4.852	2.983	8.390	1.000	0.033	0.133	0.833	0.163
COME ON ARSENAL	live events	0.744	0.798	0.908	111.786	28.954	0.008	0.172	0.809	8.720	8.196	3.068	7.457	1.000	0.094	0.146	0.759	0.176
COME ON CHELSEA	live events	0.561	0.580	0.741	55.892	21.137	0.000	0.491	1.062	9.472	8.662	2.963	5.729	1.000	0.004	0.020	0.976	0.028
Comical Ali	news	0.700	0.700	0.745	52.674	21.361	0.003	0.005	1.071	9.430	8.896	2.750	5.363	1.000	0.007	0.010	0.983	0.010
#ComicBookCharacterReportCards	group interest	0.451	0.482	0.237	81.401	21.219	0.133	0.336	0.971	9.117	7.804	5.867	8.751	1.000	0.069	0.053	0.878	-0.048
#CommonSense	live events	0.511	0.990	1.015	105.066	20.776	0.043	0.031	0.972	8.021	6.919	1.422	9.513	1.000	0.068	0.082	0.850	0.025
#Concentrix	news	0.344	0.430	1.585	91.953	21.617	0.139	0.134	0.961	8.556	6.931	4.700	10.203	1.000	0.056	0.103	0.841	0.111
CONGRATS NIALL	group interest	0.692	0.742	1.669	104.020	20.886	0.056	0.313	0.982	8.327	8.406	3.737	8.583	1.000	0.125	0.057	0.818	-0.202
#ContainerMovies	group interest	0.899	0.862	1.630	72.304	60.014	0.188	0.036	1.000	6.837	6.493	3.138	6.734	1.000	0.015	0.371	0.614	0.655
#ConvinceMeToMarryYou	group interest	0.180	0.221	1.063	39.934	22.645	0.036	0.019	0.997	7.337	5.421	1.521	8.254	1.000	0.031	0.035	0.934	0.003
#CookSchoolGBC	group interest	0.507	0.528	1.050	74.796	22.061	0.069	0.024	0.995	8.370	6.888	1.472	8.925	1.000	0.054	0.152	0.795	0.212
#CopaDelRey	live events	0.617	0.660	1.053	75.830	88.660	0.000	0.160	0.926	4.707	4.237	1.836	7.555	1.000	0.009	0.120	0.871	0.257
#CostofDoingNothing	group interest	0.621	0.690	1.690	103.690	287.690	0.034	0.276	0.931	5.522	4.735	3.811	7.481	1.000	0.061	0.123	0.815	0.245
#courgettecrisis	news	0.748	0.852	1.079	96.766	21.229	0.031	0.198	0.957	7.543	7.596	1.812	7.999	1.000	0.024	0.093	0.883	0.165
